,Date,Open,High,Low,Close,DeltaSP500,DeltaSP500-CUM,Delta%-SP500,Delta%-SP500-CUM
29,1928-02-10,17.54,17.54,17.54,17.54,-0.010000000000001563,-0.120000000000001,-0.0005698005698006589,-0.006112863988319818
30,1928-02-14,17.44,17.44,17.44,17.44,-0.09999999999999787,-0.21999999999999886,-0.005701254275940586,-0.011814118264260404
31,1928-02-15,17.4,17.4,17.4,17.4,-0.0400000000000027,-0.26000000000000156,-0.0022935779816515307,-0.014107696245911934
32,1928-02-16,17.35,17.35,17.35,17.35,-0.04999999999999716,-0.3099999999999987,-0.0028735632183906415,-0.016981259464302574
33,1928-02-17,17.04,17.04,17.04,17.04,-0.3100000000000023,-0.620000000000001,-0.01786743515850157,-0.03484869462280414
34,1928-02-20,16.95,16.95,16.95,16.95,-0.08999999999999986,-0.7100000000000009,-0.0052816901408450625,-0.040130384763649204
35,1928-02-21,17.11,17.11,17.11,17.11,0.16000000000000014,-0.5500000000000007,0.009439528023598829,-0.030690856740050378
36,1928-02-23,17.13,17.13,17.13,17.13,0.019999999999999574,-0.5300000000000011,0.0011689070718877601,-0.029521949668162618
37,1928-02-24,17.18,17.18,17.18,17.18,0.05000000000000071,-0.4800000000000004,0.0029188558085231006,-0.026603093859639517
38,1928-02-27,17.11,17.11,17.11,17.11,-0.07000000000000028,-0.5500000000000007,-0.00407450523864961,-0.030677599098289127
39,1928-02-28,17.16,17.16,17.16,17.16,0.05000000000000071,-0.5,0.002922267679719504,-0.027755331418569625
40,1928-02-29,17.26,17.26,17.26,17.26,0.10000000000000142,-0.3999999999999986,0.00582750582750591,-0.021927825591063713
41,1928-03-01,17.3,17.3,17.3,17.3,0.03999999999999915,-0.35999999999999943,0.0023174971031285716,-0.01961032848793514
42,1928-03-02,17.3,17.3,17.3,17.3,0.0,-0.35999999999999943,0.0,-0.01961032848793514
43,1928-03-05,17.57,17.57,17.57,17.57,0.2699999999999996,-0.08999999999999986,0.015606936416184946,-0.004003392071750194
44,1928-03-06,17.67,17.67,17.67,17.67,0.10000000000000142,0.010000000000001563,0.005691519635742824,0.0016881275639926297
45,1928-03-07,17.58,17.58,17.58,17.58,-0.09000000000000341,-0.08000000000000185,-0.00509337860781004,-0.0034052510438174104
46,1928-03-08,17.64,17.64,17.64,17.64,0.060000000000002274,-0.019999999999999574,0.00341296928327658,7.718239459169815e-06
47,1928-03-09,17.93,17.93,17.93,17.93,0.28999999999999915,0.2699999999999996,0.016439909297052104,0.016447627536511272
48,1928-03-12,18.0,18.0,18.0,18.0,0.07000000000000028,0.33999999999999986,0.0039040713887339815,0.020351698925245253
49,1928-03-13,17.92,17.92,17.92,17.92,-0.0799999999999983,0.26000000000000156,-0.00444444444444435,0.0159072544808009
50,1928-03-14,17.93,17.93,17.93,17.93,0.00999999999999801,0.2699999999999996,0.0005580357142856032,0.016465290195086506
51,1928-03-15,18.07,18.07,18.07,18.07,0.14000000000000057,0.41000000000000014,0.007808142777467963,0.02427343297255447
52,1928-03-16,18.26,18.26,18.26,18.26,0.19000000000000128,0.6000000000000014,0.010514665190924255,0.03478809816347872
53,1928-03-19,18.36,18.36,18.36,18.36,0.09999999999999787,0.6999999999999993,0.0054764512595836725,0.040264549423062394
54,1928-03-20,18.46,18.46,18.46,18.46,0.10000000000000142,0.8000000000000007,0.005446623093681995,0.04571117251674439
55,1928-03-21,18.65,18.65,18.65,18.65,0.18999999999999773,0.9899999999999984,0.010292524377031296,0.056003696893775684
56,1928-03-22,18.6,18.6,18.6,18.6,-0.04999999999999716,0.9400000000000013,-0.002680965147452931,0.05332273174632275
57,1928-03-23,18.78,18.78,18.78,18.78,0.17999999999999972,1.120000000000001,0.009677419354838694,0.06300015110116144
58,1928-03-26,19.05,19.05,19.05,19.05,0.2699999999999996,1.3900000000000006,0.014376996805111798,0.07737714790627324
59,1928-03-27,18.94,18.94,18.94,18.94,-0.10999999999999943,1.2800000000000011,-0.005774278215223067,0.07160286969105017
60,1928-03-28,18.89,18.89,18.89,18.89,-0.05000000000000071,1.2300000000000004,-0.002639915522703311,0.06896295416834686
